# Segments csv created Sun Mar  5 10:54:31 2017
# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
# YTID, start_seconds, end_seconds, positive_labels
--PJHxphWEs, 30.000, 40.000, "/m/09x0r,/t/dd00088"
--ZhevVpy1s, 50.000, 60.000, "/m/012xff"
--aE2O5G5WE, 0.000, 10.000, "/m/03fwl,/m/04rlf,/m/09x0r"
--aO5cdqSAg, 30.000, 40.000, "/t/dd00003,/t/dd00005"
--aaILOrkII, 200.000, 210.000, "/m/032s66,/m/073cg4"
--cB2ZVjpnA, 30.000, 40.000, "/m/01y3hg"
--ekDLDTUXA, 30.000, 40.000, "/m/015lz1,/m/07pws3f"
-0DLPzsiXXE, 30.000, 40.000, "/m/04rlf,/m/07qwdck"
-0DdlOuIFUI, 50.000, 60.000, "/m/0130jx,/m/02jz0l,/m/0838f"
-0FHUc78Gqo, 30.000, 40.000, "/m/02w4v,/m/04rlf"
-0O3e95y4gE, 100.000, 110.000, "/m/07r4wb8,/t/dd00125"
-0SdAVK79lg, 30.000, 40.000, "/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l"
-0Vl4HyWRk8, 410.000, 420.000, "/m/085jw,/m/0l14l2"
-0mG4W5Hlq8, 270.000, 280.000, "/m/04rlf,/m/05fw6t,/m/07r4k75,/m/09x0r,/m/0ytgt"
-0mjrMposBM, 80.000, 90.000, "/m/04zmvq"
-11LhdJgBb8, 30.000, 40.000, "/m/04rlf,/m/07qn4z3"
-1LrH01Ei1w, 30.000, 40.000, "/m/02p0sh1,/m/04rlf"
-1TLtjPtnms, 10.000, 20.000, "/m/03lty,/m/04rlf,/m/07szfh9"
-1iKLvsRBbE, 80.000, 90.000, "/m/015lz1,/m/07pws3f"
-24dqQM_rDk, 30.000, 40.000, "/m/04rlf,/t/dd00003"
-275_wTLm-4, 7.000, 17.000, "/m/07q6cd_"
-28U1_qW0sU, 30.000, 40.000, "/m/07qwdck"
-2PDE7hUArE, 30.000, 40.000, "/m/02mk9,/m/07pb8fc,/t/dd00066"
-2X03mO3T_U, 30.000, 40.000, "/m/04k94,/m/0dv3j"
-2hQKCE-oTI, 30.000, 40.000, "/m/07pbtc8"
-30H9V1IKps, 6.000, 16.000, "/m/07yv9,/m/09x0r,/m/0gvgw0"
-38Qgsbh7NQ, 100.000, 110.000, "/m/013y1f,/m/03xq_f"
-3HYdaJyF4U, 30.000, 40.000, "/m/04rlf,/m/06rqw"
-3IGxVTJvgI, 30.000, 40.000, "/m/06bz3,/m/09x0r"
-3IYpJfLVJk, 30.000, 40.000, "/m/03k3r,/m/07q5rw0,/m/0jbk"
-3hKkjKmIGE, 30.000, 40.000, "/m/019jd,/m/06q74"
-3pPrlCm6gg, 30.000, 40.000, "/m/01wy6"
-4NLarMj4xU, 30.000, 40.000, "/m/04rlf,/t/dd00034"
-4RWqM0UCCY, 0.000, 10.000, "/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9"
-4hZyOdm7EI, 200.000, 210.000, "/m/015lz1,/m/015vgc"
